vehicle_id,vehicle_type,distance_km,avg_speed_kmph,load_kg,traffic_index,road_gradient,weather,fuel_consumed_l
TS11-KA-7829,van,53.8,62.3,2948,0.979,0.0951,clear,28.59
TS11-IL-4278,bus,8.3,81.5,828,0.128,0.0217,rain,4.77
TS07-ZA-5999,truck,22.3,23.9,2970,0.967,0.0689,clear,18.11
TS07-RX-6790,van,40.6,23.7,2654,0.113,0.0915,clear,20.52
TS10-VZ-8755,truck,58.9,64.2,5290,0.862,0.0089,rain,38.95
TS08-OV-3650,truck,51.4,36.3,2694,0.575,-0.0102,clear,24.55
TS10-AW-6529,truck,51.3,65.5,7769,0.832,-0.0109,clear,29.43
TS10-VF-5054,van,32.5,80.1,1603,0.634,-0.0112,clear,11.05
TS11-EV-3592,van,35.2,18.4,223,0.769,0.0221,rain,14.22
TS09-NR-8529,van,51.9,82.1,217,0.731,-0.0049,clear,15.6
TS08-EK-6508,van,52.6,15.1,2835,0.26,0.0286,clear,24.52
TS10-TI-9423,bus,48.7,86.6,1831,0.935,0.0705,clear,46.88
TS07-DA-9336,van,49.7,93.0,2474,0.644,0.0158,clear,24.57
TS07-PV-7899,truck,53.1,67.4,540,0.202,0.0375,rain,22.8
TS11-BK-5554,truck,9.5,93.7,1346,0.306,-0.0047,clear,5.09
TS10-QO-3761,van,19.7,80.2,2599,0.533,0.0638,clear,9.4
TS07-LG-5988,bus,58.6,15.7,5966,0.882,0.0181,fog,70.25
TS10-OP-1376,van,34.1,12.3,345,0.797,-0.0038,rain,14.83
TS10-LD-2924,van,13.1,13.7,669,0.302,0.0946,clear,6.56
TS10-XN-9788,van,31.7,49.5,2224,0.688,0.0724,rain,14.51
TS07-HY-2576,van,39.8,63.7,1683,0.002,0.0583,clear,10.95
TS10-FI-5299,van,50.2,52.0,1337,0.333,0.0668,clear,15.39
TS08-WZ-5499,truck,49.3,68.2,1717,0.84,0.0311,clear,26.76
TS09-BG-1358,truck,5.8,49.3,7574,0.151,0.0158,clear,3.03
TS11-FI-8584,bus,28.9,15.5,1199,0.353,0.04,clear,22.05
TS10-QB-6066,truck,4.2,30.8,2269,0.001,0.079,rain,2.44
TS09-IT-9363,bus,53.6,94.4,2081,0.023,0.0957,clear,45.0
TS08-II-8513,ev_van,12.9,40.7,519,0.146,0.0526,fog,1.26
TS07-XU-5349,truck,38.6,39.0,4383,0.102,0.0252,clear,18.63
TS09-XU-3490,truck,35.5,24.7,2862,0.49,0.0662,clear,23.96
TS07-RD-1791,truck,38.7,93.9,4941,0.9,0.0636,rain,42.62
TS11-MQ-2955,truck,35.1,31.1,3069,0.085,0.0097,clear,15.12
TS07-BJ-1033,van,43.8,65.7,526,0.87,0.0323,clear,14.12
TS09-IN-6305,van,38.7,15.5,2643,0.668,-0.0039,clear,18.7
TS08-LC-3715,van,8.1,17.5,1627,0.169,0.0283,clear,3.17
TS11-ZM-9454,van,23.9,71.5,1101,0.29,0.0715,clear,8.08
TS09-DW-4735,bus,34.2,64.7,295,0.194,0.0177,clear,14.81
TS10-QI-7600,van,21.5,68.5,1874,0.789,0.056,clear,9.26
TS09-JH-7715,truck,46.3,31.2,6304,0.725,0.0193,clear,32.4
TS08-DW-3985,truck,21.1,93.7,5270,0.304,-0.0023,clear,13.81
TS10-SV-6630,truck,50.2,58.3,6344,0.054,0.069,clear,28.68
TS10-VY-1421,van,11.4,92.5,634,0.169,0.0507,fog,4.63
TS10-EX-1436,bus,46.9,25.6,5836,0.63,0.0791,rain,56.04
TS08-EP-1038,truck,13.5,45.6,1848,0.09,0.0615,clear,5.92
TS07-NZ-5754,bus,33.1,39.9,1747,0.536,0.0781,clear,22.78
TS09-RO-4463,truck,21.3,74.7,4196,0.613,-0.0014,clear,11.58
TS09-AG-7064,van,39.3,74.0,215,0.688,0.0538,clear,12.85
TS08-BD-8794,bus,15.1,52.4,2766,0.125,0.0241,fog,7.51
TS08-AS-5773,bus,48.3,13.3,1335,0.46,0.0696,clear,45.59
TS09-XI-6151,truck,35.7,26.5,6042,0.463,0.0496,fog,28.58
TS10-PF-7133,van,57.6,16.2,2322,0.835,-0.0135,rain,30.35
TS10-DE-7073,bus,43.6,82.3,3771,0.469,0.044,rain,39.27
TS07-WC-9767,truck,37.6,36.1,3489,0.407,0.0693,clear,23.12
TS10-LG-4100,truck,50.3,21.8,2620,0.123,0.0115,clear,26.0
TS10-TF-5885,ev_van,15.5,41.4,2103,0.694,0.0585,rain,2.51
TS11-GS-2549,ev_van,39.1,18.4,1366,0.62,0.0809,rain,7.38
TS11-EH-5132,van,25.3,93.2,1590,0.717,-0.0122,clear,10.31
TS08-EQ-1177,truck,45.4,38.1,1085,0.656,0.0494,clear,24.45
TS11-BI-9368,ev_van,4.4,89.4,702,0.875,0.0865,clear,0.79
TS07-BT-1658,van,27.4,68.7,1209,0.877,-0.0048,clear,8.42
TS11-LW-3205,van,40.1,59.0,2157,0.308,0.0123,clear,11.53
TS07-ZT-9197,bus,29.3,51.5,5103,0.182,0.0551,clear,19.12
TS08-KP-5038,truck,16.6,69.1,7944,0.926,0.0502,fog,14.3
TS08-JP-1340,truck,29.5,69.0,3534,0.713,0.0752,rain,21.18
TS08-HB-2103,ev_van,51.4,12.9,1242,0.971,0.0555,rain,10.7
TS09-CI-6047,bus,14.8,87.3,4643,0.497,0.0491,rain,14.35
TS11-CL-1926,truck,23.9,42.5,2706,0.962,0.0342,rain,15.5
TS09-MU-4980,truck,59.4,41.3,4416,0.123,-0.0106,clear,24.4
TS11-DB-1040,van,55.0,45.7,2096,0.59,0.0509,rain,22.56
TS08-FC-3122,truck,4.9,68.9,2043,0.497,-0.0012,clear,2.11
TS11-UA-9238,ev_van,33.2,43.2,843,0.003,0.0995,fog,3.65
TS08-KI-4644,van,6.7,43.0,1197,0.193,-0.0106,clear,1.59
TS10-SP-6641,van,55.7,17.3,1818,0.153,-0.0109,rain,20.78
TS10-EK-1969,bus,28.2,46.6,1768,0.061,0.0745,clear,15.59
TS10-LQ-6082,van,26.9,24.4,783,0.948,-0.0079,clear,10.15
TS08-DZ-3639,van,18.6,83.0,619,0.965,0.0286,clear,7.07
TS07-HX-3351,van,35.4,39.8,2466,0.892,0.0913,clear,18.16
TS11-LW-6876,truck,11.3,91.8,7111,0.989,0.0745,rain,13.81
TS07-NK-2812,bus,48.5,68.8,5447,0.831,0.0079,clear,38.37
TS09-CS-8396,truck,31.0,74.8,6609,0.932,0.0101,clear,21.45
TS07-MR-1559,bus,35.3,90.7,996,0.198,0.0511,rain,25.58
TS08-GB-8235,truck,50.9,31.8,962,0.257,0.0384,clear,24.12
TS09-TP-8881,truck,13.6,59.1,4093,0.862,-0.006,fog,7.35
TS11-PJ-4805,truck,13.0,15.4,4267,0.479,-0.001,clear,9.11
TS11-LN-2745,van,27.0,20.4,2252,0.717,0.0763,clear,15.5
TS11-QI-6265,truck,47.8,42.4,1938,0.562,0.0214,clear,22.44
TS09-EW-8970,ev_van,6.3,68.6,2341,0.306,0.0759,fog,0.89
TS11-JG-1447,van,48.3,81.0,1068,0.285,0.0028,rain,15.02
TS10-IX-8827,truck,31.5,33.3,4707,0.748,0.0519,rain,26.2
TS07-XD-5413,van,35.0,74.2,2620,0.532,0.0406,clear,14.65
TS09-YR-8876,truck,35.2,30.6,4283,0.359,0.0192,clear,20.09
TS09-VW-8736,ev_van,6.2,12.5,1933,0.617,0.053,clear,1.23
TS09-JZ-7807,bus,17.2,16.5,4544,0.42,-0.0051,clear,14.02
TS11-PY-7476,van,46.1,60.6,2412,0.475,0.0828,clear,19.42
TS10-EO-7581,truck,26.5,53.3,6526,0.678,0.0692,rain,20.5
TS10-YI-3723,bus,34.9,34.4,2476,0.458,0.0144,fog,22.48
TS11-ZE-4405,bus,56.9,12.5,2309,0.95,0.0496,clear,62.67
TS11-FU-2010,ev_van,5.6,59.1,2048,0.485,0.0883,rain,0.84
TS07-UP-5992,van,28.6,79.9,1823,0.962,0.0307,clear,12.97
TS11-HN-6475,bus,23.6,17.7,3725,0.848,0.0236,clear,23.26
TS10-IQ-5034,truck,9.1,73.1,3413,0.891,0.0759,clear,7.07
TS09-WK-7012,truck,57.2,64.7,1773,0.763,-0.0199,clear,25.0
TS11-TZ-6250,bus,57.8,51.8,2850,0.605,0.0624,rain,42.24
TS08-ZQ-3172,bus,20.8,16.0,5824,0.533,0.0059,clear,19.28
TS08-GV-1832,truck,57.0,88.7,2469,0.552,0.0633,clear,40.91
TS10-OB-6519,van,5.0,51.6,962,0.201,0.0325,clear,1.25
TS10-SN-4018,ev_van,58.9,45.2,501,0.214,-0.0176,rain,4.34
TS07-AJ-6689,truck,50.6,83.5,3953,0.034,0.0849,clear,31.09
TS07-ZP-3650,van,15.2,82.2,1008,0.746,0.0456,rain,6.6
TS11-EY-3535,truck,37.2,72.4,5560,0.125,0.0176,clear,18.37
TS08-LZ-3257,van,48.5,80.8,578,0.582,0.0644,rain,19.77
TS11-JH-6743,truck,21.2,22.3,2129,0.138,0.0395,clear,11.63
TS10-ID-4564,van,23.2,75.2,373,0.067,-0.0158,clear,4.67
TS09-BC-9260,van,38.9,39.2,316,0.534,0.058,clear,12.55
TS07-KT-3952,van,11.4,84.0,2480,0.873,0.0963,rain,7.66
TS09-CU-6707,truck,9.7,42.7,7266,0.356,0.0066,fog,5.44
TS11-WJ-1370,ev_van,17.2,16.5,1957,0.919,0.0836,fog,4.0
TS08-DN-2317,truck,45.3,46.4,6948,0.01,0.0545,clear,23.3
TS11-PG-9290,truck,23.9,74.8,875,0.466,-0.0107,rain,10.08
TS10-LD-4093,van,31.9,53.6,2715,0.147,0.0676,clear,11.66
TS09-TG-7682,bus,14.1,75.4,2903,0.316,0.033,clear,9.17
TS08-GL-2447,van,14.1,14.9,2352,0.024,0.0752,clear,6.77
TS09-JH-7979,van,40.1,26.7,1924,0.035,0.0563,rain,16.54
TS08-SS-6992,truck,9.2,58.8,2929,0.713,-0.0197,fog,4.27
TS08-VG-3493,ev_van,41.1,44.0,809,0.655,-0.0048,clear,3.79
TS11-IS-1381,truck,25.8,68.5,1121,0.208,0.0223,clear,10.67
TS10-WS-6241,bus,41.3,91.9,2593,0.901,0.0378,clear,40.8
TS11-HJ-1624,truck,24.8,66.8,4054,0.688,0.0919,clear,17.48
TS10-ST-7737,ev_van,51.2,46.6,2461,0.336,0.0786,clear,7.03
TS07-RT-2833,truck,6.2,57.0,491,0.408,0.0762,clear,2.95
TS09-XK-7777,truck,53.9,87.8,4803,0.293,0.0447,clear,35.31
TS09-RQ-6857,bus,18.3,67.9,3245,0.831,-0.0089,rain,11.93
TS10-XH-9353,ev_van,5.4,78.7,253,0.494,0.0695,clear,0.65
TS10-PI-4749,ev_van,35.1,37.0,958,0.135,-0.0096,rain,2.96
TS10-JH-8370,van,15.8,73.8,1384,0.202,-0.009,rain,4.15
TS09-QA-1695,ev_van,29.2,23.6,1337,0.297,0.0106,clear,3.49
TS11-DU-9100,ev_van,48.7,74.2,737,0.403,0.0907,clear,6.04
TS09-WL-9565,bus,48.1,85.2,398,0.593,0.07,fog,38.06
TS08-LK-8055,truck,37.2,86.7,2492,0.964,-0.0108,clear,22.92
TS07-VA-3840,van,58.7,21.7,2542,0.262,0.0903,clear,31.34
TS09-DM-9972,van,29.4,80.9,2462,0.328,0.074,clear,13.95
TS11-AP-6375,bus,5.2,21.1,1248,0.024,0.0524,fog,3.41
TS07-QN-7135,truck,49.7,51.7,5241,0.373,-0.0048,clear,23.18
TS08-GT-7493,van,15.6,68.6,2786,0.675,0.0184,clear,6.28
TS07-FP-8460,truck,13.0,52.2,1542,0.963,0.0161,rain,6.94
TS08-FV-7269,ev_van,7.0,40.2,496,0.74,0.0568,clear,0.84
TS11-UY-2700,truck,21.7,68.8,373,0.118,0.0505,rain,9.95
TS08-GB-8011,truck,21.6,66.9,1545,0.89,0.0133,clear,10.52
TS10-CF-2716,van,20.3,60.4,2479,0.839,0.0173,rain,8.68
TS09-LH-9370,truck,36.8,55.9,6549,0.189,0.0422,clear,19.03
TS08-OL-4488,truck,45.8,70.6,4416,0.934,0.0814,clear,34.69
TS11-ZA-5172,van,56.5,45.5,1134,0.714,-0.0049,clear,16.42
TS07-LQ-4704,ev_van,8.4,17.7,2056,0.783,0.0671,clear,1.78
TS08-IH-3930,truck,11.6,56.6,1721,0.459,0.0995,clear,6.53
TS08-RC-1367,truck,36.6,72.0,1291,0.201,0.07,clear,17.66
TS09-RG-2810,van,8.6,36.8,450,0.799,0.033,clear,2.79
TS10-JT-2318,ev_van,24.1,23.7,2158,0.477,0.0678,clear,4.09
TS07-OK-7563,bus,38.6,87.7,4346,0.967,0.0833,clear,47.68
TS09-JE-2470,truck,47.5,83.7,5072,0.153,0.0722,clear,31.85
TS10-FN-8362,truck,15.4,63.3,5874,0.355,-0.0185,rain,7.33
TS11-GC-7971,truck,41.1,77.3,1319,0.736,-0.0042,clear,19.18
TS10-IP-2698,truck,39.8,92.4,3201,0.572,-0.0071,rain,26.36
TS10-SH-5216,van,52.0,59.2,2480,0.433,-0.0162,clear,14.81
TS08-AD-9638,truck,20.9,32.3,7351,0.702,0.0657,clear,16.96
TS09-DB-4180,bus,45.8,65.0,3176,0.733,0.0121,clear,27.59
TS11-KZ-5404,van,45.9,87.9,542,0.577,0.0666,clear,19.6
TS10-UA-1054,van,16.6,69.3,2940,0.319,0.0599,rain,7.02
TS11-YD-6813,truck,38.4,14.2,3281,0.619,0.0428,clear,29.94
TS11-YH-8355,van,41.5,88.1,1093,0.545,-0.0128,fog,15.24
TS10-YD-6408,van,18.6,74.6,536,0.798,0.0166,rain,6.53
TS07-JA-4985,van,28.8,45.4,235,0.653,-0.0167,clear,6.89
TS11-RI-4841,truck,27.8,94.0,4909,0.497,0.0892,fog,28.09
TS08-TG-1826,truck,47.1,71.9,4977,0.019,0.017,clear,22.52
TS09-VM-2837,ev_van,3.0,80.5,739,0.167,-0.0086,rain,0.28
TS07-YT-2399,bus,31.6,90.3,1140,0.337,-0.0197,clear,17.47
TS07-DJ-8306,truck,13.5,15.3,4318,0.601,0.0534,clear,11.31
TS07-VA-7648,bus,39.9,76.3,2725,0.792,0.0545,clear,30.93
TS08-YM-3434,van,41.8,44.1,1050,0.96,0.0994,rain,19.71
TS08-VK-4168,ev_van,31.6,84.1,702,0.6,0.0146,clear,3.52
TS10-NR-5009,truck,33.9,84.9,6903,0.729,-0.0144,clear,22.55
TS07-AB-6169,ev_van,21.0,80.8,2463,0.621,0.0735,fog,3.9
TS09-TX-2570,truck,20.9,76.7,2974,0.43,0.0165,clear,11.25
TS11-YQ-5773,van,45.5,77.9,2155,0.61,0.0197,fog,17.76
TS07-EA-6812,van,10.5,36.6,2624,0.401,0.0889,clear,4.79
TS09-ED-1571,truck,47.0,45.7,410,0.454,0.049,rain,22.21
TS10-RQ-1996,truck,40.3,21.5,7283,0.911,0.028,clear,36.26
TS07-CT-7658,bus,53.4,80.9,3095,0.564,0.0941,rain,54.11
TS08-BI-8287,ev_van,17.8,65.6,1481,0.1,0.0118,fog,1.6
TS07-UM-2272,van,31.9,62.9,1712,0.524,-0.0174,clear,8.58
TS11-NR-1869,ev_van,5.2,32.4,759,0.953,0.0077,rain,0.66
TS08-QQ-1566,van,55.0,63.0,2390,0.1,-0.0147,fog,14.88
TS10-YU-2869,bus,41.5,49.7,4448,0.971,0.0289,rain,34.19
TS11-RB-2154,van,38.5,94.6,468,0.988,0.0797,fog,22.81
TS11-FC-5058,truck,44.8,83.6,4590,0.561,0.097,rain,39.9
TS09-OR-9988,truck,19.2,55.7,7665,0.332,0.064,clear,12.48
TS10-AC-1002,van,37.4,79.1,2639,0.009,0.0911,rain,16.74
TS08-JY-4295,van,48.7,25.7,1953,0.016,0.029,rain,18.13
TS07-WG-9212,truck,8.1,20.4,1750,0.388,0.0163,clear,4.86
TS10-WV-2288,bus,57.7,64.3,2214,0.783,-0.0015,clear,32.72
TS10-KQ-7712,van,53.8,72.3,621,0.942,0.0401,clear,19.23
TS09-IX-6968,ev_van,57.9,16.4,2090,0.155,0.0192,rain,8.75
TS11-GV-3910,van,49.1,28.7,2380,0.488,-0.0071,rain,18.74
TS09-WJ-3254,bus,19.8,56.6,5480,0.502,0.0918,rain,17.9
TS11-ZI-3756,bus,36.1,17.2,568,0.38,-0.0052,clear,21.67
TS08-AO-3293,bus,9.8,47.2,5795,0.54,0.0688,clear,8.02
TS11-EQ-5560,van,46.0,52.0,2906,0.925,-0.0118,clear,16.26
TS10-CM-6633,ev_van,11.8,88.5,1751,0.439,0.0433,rain,1.75
TS08-WN-4262,bus,52.4,38.2,5314,0.138,0.061,rain,42.66
TS07-EM-4599,truck,16.7,26.0,3620,0.665,0.0081,fog,11.37
TS11-UE-6322,truck,12.1,12.6,2645,0.031,-0.0109,clear,6.44
TS09-CR-5834,van,7.0,22.1,632,0.94,0.0512,rain,3.33
TS07-MT-3943,van,43.5,74.3,288,0.94,0.0523,rain,16.31
TS08-CF-9829,truck,13.6,48.9,528,0.092,0.0174,fog,4.75
TS10-EM-2734,truck,14.3,28.5,5594,0.551,0.0251,rain,10.6
TS09-DQ-6131,van,12.7,89.4,1142,0.797,-0.0145,clear,4.9
TS10-LH-3245,truck,20.4,77.4,622,0.465,0.0155,rain,10.2
TS08-LL-7061,van,56.6,21.5,514,0.479,0.0859,clear,24.77
TS07-HW-9236,truck,30.7,34.3,5389,0.97,0.0006,rain,21.9
TS11-HD-2783,truck,17.9,82.5,7522,0.231,0.0362,rain,12.91
TS07-YW-8294,ev_van,12.7,69.5,1138,0.526,0.0612,fog,1.66
TS10-IM-8572,truck,4.1,90.5,6266,0.115,0.0763,clear,3.33
TS11-NV-4120,truck,23.8,18.3,7794,0.302,-0.0103,rain,17.01
TS09-VJ-7768,truck,9.3,76.4,5725,0.851,0.051,clear,7.35
TS09-HF-6459,truck,4.5,18.3,5839,0.716,0.0553,rain,4.49
TS09-JT-1009,truck,8.9,39.9,5004,0.612,0.0037,fog,5.05
TS07-ZR-5946,truck,21.2,74.3,7826,0.114,-0.0163,clear,10.47
TS07-PL-6398,truck,45.8,71.0,2538,0.851,0.0813,rain,34.3
TS07-OP-3610,truck,6.8,12.2,6307,0.298,0.0328,rain,6.27
TS07-ZS-6594,van,41.7,28.8,1362,0.535,-0.0127,rain,13.77
TS10-RD-5092,van,38.4,76.6,635,0.233,0.0494,clear,11.72
TS11-HZ-1579,bus,53.3,22.5,4488,0.521,0.0252,fog,46.49
TS08-JQ-2584,truck,13.5,39.1,6669,0.562,-0.0104,fog,7.74
TS08-RH-8910,bus,48.3,27.3,5209,0.34,0.0145,rain,39.16
TS11-HO-3995,ev_van,52.3,21.3,2320,0.506,0.0192,clear,8.38
TS08-RH-2343,ev_van,58.7,81.4,1913,0.406,0.049,rain,9.0
TS08-YG-4274,truck,49.1,17.1,4315,0.697,0.0284,clear,38.84
TS10-CG-2571,truck,10.1,56.5,7522,0.544,-0.0072,rain,6.07
TS11-YT-3223,truck,57.0,69.5,1835,0.878,0.0562,clear,34.18
TS10-RW-2405,truck,49.5,16.8,803,0.05,0.0675,clear,28.71
TS10-FO-8912,van,15.1,64.6,1409,0.027,0.0409,clear,3.83
TS07-DV-1168,bus,12.4,39.7,3577,0.189,-0.0124,rain,6.67
TS10-NJ-8763,truck,56.4,81.2,5504,0.119,-0.0076,clear,27.22
TS11-IA-2153,bus,11.9,78.2,4929,0.526,0.0934,rain,12.43
TS07-ZP-7089,bus,47.3,77.9,355,0.2,0.0027,clear,21.89
TS08-WS-7768,truck,26.1,45.1,6456,0.016,0.0169,clear,11.77
TS09-SO-4460,van,44.3,80.3,1880,0.283,0.0625,clear,17.16
TS09-IY-7451,truck,8.2,64.3,7633,0.509,0.075,rain,6.12
TS10-SL-9554,ev_van,44.3,43.4,1000,0.714,0.0893,clear,5.86
TS08-OB-3651,truck,32.2,18.7,5012,0.438,0.0274,rain,24.67
TS09-MY-6522,van,54.3,17.5,2346,0.963,0.0991,clear,41.18
TS09-LP-8119,ev_van,13.7,32.9,1388,0.199,-0.0075,fog,1.4
TS08-PO-1084,ev_van,9.2,36.9,559,0.514,0.0792,clear,1.14
TS11-OG-6701,van,14.2,89.0,339,0.253,0.0127,clear,4.09
TS10-XA-4723,van,7.5,95.0,512,0.807,0.0925,clear,4.03
TS07-ON-5274,van,58.9,23.9,1586,0.188,0.0843,clear,24.18
TS11-NK-1605,van,10.0,90.2,1991,0.962,0.0715,clear,6.39
TS08-XL-9192,truck,14.4,70.6,4650,0.717,0.0524,rain,10.59
TS09-OL-6008,bus,49.2,53.4,4335,0.557,0.0057,rain,31.38
TS07-BM-6380,bus,17.1,91.2,426,0.532,0.0354,clear,12.35
TS09-LH-7380,ev_van,15.7,71.2,514,0.362,-0.0158,fog,1.22
TS10-BL-7397,bus,41.3,61.3,4615,0.021,0.0651,clear,25.66
TS10-HY-6864,bus,25.7,29.4,4731,0.915,-0.0061,rain,22.21
TS09-QW-3041,van,50.6,32.3,2166,0.795,0.011,clear,20.74
TS07-LC-8519,truck,39.4,87.7,6014,0.135,0.0094,clear,24.34
TS11-PZ-1618,truck,19.4,29.8,7715,0.122,0.0746,rain,15.2
TS10-LH-3805,bus,37.1,14.7,5676,0.308,0.0281,clear,35.79
TS09-QE-6530,bus,52.4,34.1,3938,0.763,0.0441,clear,39.31
TS11-AW-6468,truck,23.8,51.9,2691,0.503,0.005,rain,11.83
TS08-TQ-7917,bus,45.0,43.7,282,0.654,0.0201,rain,24.78
TS07-BQ-3732,bus,26.7,89.7,3863,0.006,0.0414,fog,20.7
TS08-KS-2617,truck,34.0,46.7,3564,0.924,0.0033,rain,21.06
TS11-KD-1640,bus,44.8,85.8,1053,0.166,0.0628,clear,28.41
TS11-CK-7017,van,6.5,61.4,803,0.319,0.0339,rain,1.88
TS09-GC-7401,truck,28.9,55.5,7505,0.947,0.098,rain,27.72
TS09-BE-6063,ev_van,8.4,25.3,352,0.733,0.0096,clear,0.97
TS07-KD-8171,ev_van,44.3,34.5,2011,0.511,0.0275,clear,5.73
TS10-UB-4379,bus,37.6,84.0,5432,0.863,0.091,rain,50.69
TS08-QV-3047,truck,21.6,76.7,5569,0.061,0.0863,rain,14.7
TS10-PV-1731,bus,7.3,49.1,556,0.076,0.0381,clear,3.27
TS11-LH-2644,van,55.8,87.4,2568,0.155,-0.0052,rain,21.6
TS11-WD-5003,van,21.0,80.0,2029,0.265,0.0291,clear,7.49
TS10-PE-4243,van,18.7,21.3,976,0.709,0.0505,clear,8.4
TS08-HY-2826,bus,8.8,62.3,3852,0.532,0.0105,rain,5.61
TS10-XU-8194,van,35.9,78.3,582,0.426,0.0029,clear,9.85
TS07-DU-7719,truck,18.1,79.1,5720,0.783,0.0438,clear,13.23
TS10-KN-1138,van,51.0,19.6,2728,0.317,0.0011,rain,22.47
TS08-ND-2170,truck,41.9,30.6,4269,0.085,0.0849,clear,26.99
TS07-FZ-7263,van,3.2,46.3,2866,0.397,-0.0111,fog,1.04
TS11-GP-9026,ev_van,35.2,32.9,1208,0.766,0.0985,fog,5.97
TS08-RS-8489,truck,16.2,21.0,6889,0.474,0.0446,rain,13.77
TS11-PP-8818,van,3.9,64.2,2366,0.977,0.098,rain,2.19
TS10-JQ-5941,truck,38.3,54.1,890,0.856,0.0702,fog,22.56
TS08-NQ-9133,van,14.7,24.9,2755,0.791,-0.0017,rain,7.26
TS09-EZ-6201,truck,54.3,60.7,7301,0.773,0.0073,rain,37.38
TS08-TK-4330,ev_van,35.7,17.1,1008,0.581,-0.0072,clear,4.46
TS11-WN-4356,truck,14.9,43.8,6389,0.901,0.0675,rain,12.39
TS11-ET-6255,ev_van,58.8,77.8,717,0.59,0.0002,clear,6.07
TS11-KV-1136,van,34.1,85.9,285,0.373,0.0657,clear,11.98
TS10-BQ-2757,van,12.4,32.4,782,0.196,0.0831,clear,4.23
TS11-UC-9027,van,32.5,83.3,1555,0.813,0.0294,clear,13.11
TS08-OC-1949,van,57.7,86.0,362,0.371,0.0593,clear,20.29
TS08-NO-8699,ev_van,27.2,62.4,568,0.791,0.0874,rain,3.79
